source_id,citation,year,jurisdiction,design,used_for,url,access_date,limitations
A01,Study team structural assumption: PCC computational horizon.,2026,Model-specific,Internal structural assumption,Base and extended computational horizons for the PCC state-transition module.,,2026-08-25,Not empirical evidence. The horizon should be long enough to capture nearly all modeled PCC occupancy.
A02,Study team structural assumption: incremental PEP access and dispensing cost.,2026,Japan,Internal costing assumption,"Additional consultation, testing, dispensing, delivery, or implementation cost not captured elsewhere.",,2026-08-25,Base value is zero pending micro-costing. Scenario and threshold analyses are required.
A03,Study team cohort-calibration assumption: discounted remaining QALYs lost per acute death.,2026,Japan,Internal calibration placeholder,Lifetime QALY loss from acute COVID-19 death before the target age-sex distribution is locked.,,2026-08-25,Must be replaced by age-sex-specific Japanese life-table survival and utility integration for the final analysis.
A04,Study team structural assumption: PCC risk multiplier after hospitalization.,2026,Model-specific,Internal structural assumption,Severity-specific PCC incidence after hospitalized versus outpatient symptomatic COVID-19.,,2026-08-25,No directly transportable Japanese estimate was identified for the modeled setting.
A05,Study team structural assumption: PCC after asymptomatic SARS-CoV-2 infection.,2026,Model-specific,Internal structural assumption,Exploratory any-infection PCC scenario only.,,2026-08-25,Excluded from the primary analysis and unsupported by ensitrelvir-specific causal evidence.
A06,Study team structural assumption: mean PCC duration.,2026,Japan,Internal duration assumption informed by prior economic models,Mean duration and recovery rate in the monthly PCC state-transition module.,,2026-08-25,Japanese longitudinal duration evidence for the target cohort is insufficient; broad DSA and a five-year scenario are included.
A07,Study team evidence-gap assumption: annual direct medical cost of PCC.,2026,Japan,Internal conservative costing assumption,Direct payer cost of post-COVID-19 condition.,,2026-08-25,Base value is zero pending matched Japanese claims evidence. Nonzero scenario and threshold analyses are included.
E11,"Shiroiwa T, Noto S, Fukuda T. Japanese Population Norms of EQ-5D-5L and Health Utilities Index Mark 3: Disutility Catalog by Disease and Symptom in Community Settings. Value Health. 2021;24(8):1193-1202. doi:10.1016/j.jval.2021.03.010.",2021,Japan,National population survey with age-sex utility norms,Recommended source for age-sex-specific background utility in the optional remaining-QALY calibration module.,https://pubmed.ncbi.nlm.nih.gov/34372985/,2026-08-25,Published age bands require transparent mapping to each attained age; use must comply with source and instrument licensing conditions.
E12,"Andersen KM, Brouillette MA, Togo K, et al. Inpatient burden of COVID-19 in Japan: a retrospective cohort study. J Infect Chemother. 2025;31:102721. doi:10.1016/j.jiac.2025.102721.",2025,Japan,Multicenter retrospective hospital database study,"Contemporary hospitalized-case age, sex, length of stay, ICU use, ventilation, and in-hospital mortality; late-Omicron median age 82 and overall male share 54% inform the death-QALY proxy.",https://pubmed.ncbi.nlm.nih.gov/40306488/,2026-08-25,"Hospitalized population is selected and older than the PEP trial. Age and sex of admissions, rather than decedents, are used as a proxy; the study was industry sponsored."
E13,"Ministry of Health, Labour and Welfare. Abridged Life Tables for Japan 2025.",2026,Japan,Official national life table,Age-sex survival probabilities for lifetime QALY loss after acute death.,https://www.mhlw.go.jp/toukei/saikin/hw/life/life25/index.html,2026-08-25,Life-table input is truncated at age 105 in the repository; residual survival beyond 105 is omitted.
E14,"Maeda H, Igarashi A, Kuwamitsu O, Morimoto K. Comparison of long-term health-related quality of life and symptoms between COVID-19 patients and test-negative controls during the Omicron-predominant period in Japan. Arch Public Health. 2025;83(1):136. doi:10.1186/s13690-025-01625-0.",2025,Japan,Retrospective online recall survey with a test-negative comparison group,Acute utility decrement and direct integration of post-acute utility differences from months 1 to 12.,https://pubmed.ncbi.nlm.nih.gov/40420202/,2026-08-25,Single Tokyo clinic; 302 COVID-19 respondents and 77 controls; median age 42; 28.3% response; retrospectively recalled intervals; no prospectively measured baseline utility; recall and response-selection bias; later control utilities were near the ceiling.
E15,"Ministry of Health, Labour and Welfare. FY2026 medical fee schedule and item-level reimbursement database.",2026,Japan,Official reimbursement schedule,"Initial or telemedicine consultation, antigen testing, specimen collection, interpretation, and prescription components for PEP delivery.",https://shinryohoshu.mhlw.go.jp/shinryohoshu/paMenu/doPaDetailSpNext%26100,2026-08-25,"Actual billing depends on setting, simultaneous services, monthly interpretation-fee rules, and patient pathway."
E16,"Ministry of Health, Labour and Welfare. FY2026 dispensing fee schedule.",2026,Japan,Official reimbursement schedule,"Representative community-pharmacy dispensing, preparation, management, and counselling components.",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000188411_00062.html,2026-08-25,"Pharmacy category, digital prescription use, patient notebook status, and add-on claims may alter reimbursement."
E17,"Takazono T, Fujita S, Komeda T, et al. Real-World Effectiveness of Ensitrelvir in Reducing Severe Outcomes in Outpatients at High Risk for COVID-19. Infect Dis Ther. 2024;13(8):1821-1833. doi:10.1007/s40121-024-01010-4.",2024,Japan,Retrospective employer-based claims cohort,Untreated high-risk outpatient 28-day all-cause hospitalization risk and transportability scenarios.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11266320/,2026-08-25,"Few patients were aged 65 years or older, vaccination status was unavailable, hospitalization was all-cause, and exposure was treatment after diagnosis rather than PEP."
E18,"Pharmaceuticals and Medical Devices Agency. Xocova Tablets 125 mg Japanese package insert, revised August 2026.",2026,Japan,Official product label,Prevention dose and requirement to start within 72 hours after contact; implementation scenario definition.,https://www.pmda.go.jp/PmdaSearch/iyakuDetail/ResultDataSetPDF/340018_6250052F1023_2_16,2026-08-25,"The trial required baseline negativity, while the label does not state that a negative test is mandatory. Local practice may differ."
E19,"Study team derived calibration combining Andersen et al. 2025, MHLW 2025 abridged life tables, and Shiroiwa et al. 2021 EQ-5D-5L population norms.",2026,Japan,Transparent life-table and utility integration,"Discounted remaining QALYs lost per acute COVID-19 death using an age-82, 54%-male proxy cohort.",,2026-08-25,"Age 82 and 54% male are proxies from hospitalized cases, not decedent-specific distributions. Utilities above age 89 are carried forward from ages 80 to 89 and survival is truncated at age 105."
E20,Study team microcost derived from the FY2026 MHLW medical and pharmacy fee schedules.,2026,Japan,Bottom-up reimbursement microcost,PEP delivery cost for the trial-concordant face-to-face plus antigen-test pathway.,,2026-08-25,"Excludes travel, productivity, urgent delivery, provider capacity, and unlisted local implementation costs."
E21,"Taniguchi T, Hoshino M, Ide R, et al. The continued impact of COVID-19 during the Omicron era on immunocompromised individuals in Japan. J Infect Chemother. 2025;31(12):102840. doi:10.1016/j.jiac.2025.102840.",2025,Japan,Retrospective claims cohort,"Exploratory immunocompromised, B-cell-depleting therapy, and hematologic-malignancy hospitalization-rate multipliers.",https://pubmed.ncbi.nlm.nih.gov/41135830/,2026-08-25,Population incidence-rate ratios are transferred to hospitalization conditional on symptomatic infection. Follow-up was calendar year 2023 and several authors were employed by the sponsor.
A08,Study team structural assumption: acute cost price and practice adjustment factor.,2026,Japan,Internal costing assumption,Sensitivity range around source-year direct acute medical costs.,,2026-08-25,A general CPI is not imposed because payer tariffs and case-mix changes are not equivalent to consumer inflation.
A09,Study team structural assumption: direct post-acute medical cost scenarios.,2026,Japan,Internal evidence-gap assumption,Scenario values for direct medical spending after surviving symptomatic COVID-19.,,2026-08-25,Scenario values are not empirical estimates and must not be described as Japanese observed costs.
A10,Study team structural assumption: acute death only after COVID-19 hospitalization.,2026,Model-specific,Internal structural assumption,Mortality pathway in the publication base case.,,2026-08-25,Out-of-hospital COVID-19 deaths are omitted. This is conservative if such deaths occur and are preventable.
A11,Study team structural assumption: causal attribution of 28-day all-cause hospitalization to symptomatic COVID-19.,2026,Model-specific,Internal structural assumption,"Separates the all-cause hospitalization endpoint used for absolute risk from COVID-19-attributable hospitalization, cost, and mortality in the PEP model.",,2026-08-25,"No Japanese estimate of the attributable fraction was identified. The base value is 100%, with 50% and 0% structural scenarios; the parameter is not probabilistically sampled."
A12,Study team structural bounding assumption: first-generation downstream symptomatic cases.,2026,Model-specific,Illustrative static bounding assumption,Exploratory 0.2 and 0.5 additional downstream symptomatic cases per directly prevented symptomatic case.,,2026-08-26,"Not an empirical transmission estimate and not a dynamic transmission model; excludes timing, immunity, clustering, depletion, and further generations."
