parameter_id,category,label_ja,label_en,base_value,lower_value,upper_value,unit,distribution,distribution_parameter,include_in_psa,include_in_dsa,source_id,source_type,evidence_grade,price_year,notes
disutility_outpatient,utility,外来COVID-19のutility減少,Utility decrement for nonhospitalized symptomatic COVID-19,0.258,0.181,0.335,utility decrement,pert,,yes,yes,E14,japanese_controlled_eq5d,B,,Attributable acute EQ-5D-5L decrement in the Japanese Omicron controlled cohort: 0.873 minus 0.615 = 0.258. Bounds use the conservative cross-limit envelope 0.826-0.645 to 0.921-0.586.
disutility_hospital,utility,COVID-19入院中utility減少,Utility decrement during COVID-19 hospitalization,0.284,0.056,0.5,utility decrement,pert,,yes,yes,E07,japanese_eq5d_proxy,C,,Proxy based on the difference between Japanese population baseline and oxygen-requiring COVID-19 utility; broad range reflects uncertain mapping to all admissions.
disutility_ward,utility,一般病棟COVID-19のutility減少,Utility decrement for general ward COVID-19,0.056,0.02,0.15,utility decrement,pert,,no,no,E07,japanese_eq5d,B,,Same decrement as non-oxygen COVID-19 in the Japanese source model. Legacy incidence-duration model only in v0.2.0.
disutility_icu,utility,ICU COVID-19のutility減少,Utility decrement for ICU COVID-19,0.284,0.15,0.5,utility decrement,pert,,no,no,E07,japanese_eq5d,B,,Difference between Japanese baseline utility 0.877 and oxygen-requiring COVID-19 utility 0.593. Legacy incidence-duration model only in v0.2.0.
remaining_qaly_if_acute_death,utility,急性期死亡1件あたりの割引済み残存QALY,Discounted remaining QALYs lost per acute COVID-19 death,6.469490346669375,5.320961240249973,9.778527068286104,QALY/death,pert,,yes,yes,E19,derived_life_table_calibration,B,,"Age-sex weighted 2025 Japanese life-table integration at 2% discount. Base proxy age 82, 54% male; deterministic bounds use ages 85 and 75 with the same sex weights."
cost_outpatient,healthcare_cost,症候性外来COVID-19費用,Outpatient COVID-19 treatment cost,26927.0,21542.0,32312.0,JPY/case,gamma_cv,0.2,yes,yes,E04,japanese_ehr_cost,B,2023.0,Japanese EHR and claims based model input; update to current fee schedule if material.
cost_hospitalization,acute_cost,COVID-19入院1件当たり費用,Direct medical cost per COVID-19 hospitalization,1304431.0,798810.0,6210607.0,JPY/admission,pert,,yes,yes,E08,japanese_hospital_cost_study,B,2021.0,"Median all-case cost. Bounds are the reported mild and severe medians and therefore represent case-mix scenarios, not a confidence interval."
los_hospital_days,acute_clinical,COVID-19入院日数,Length of stay for COVID-19 hospitalization,21.0,10.0,31.0,days,pert,,yes,yes,E12,japanese_hospital_cohort,B,,Median 21 days in the contemporary cohort. Lower bound is the median in an independent 2021 cost cohort; upper bound is a prespecified structural range.
acute_cost_price_adjustment_factor,costing,急性期費用の価格・診療差調整係数,Acute cost price and practice adjustment factor,1.0,0.8,1.2,multiplier,pert,,yes,yes,A08,structural_costing_assumption,D,2026.0,No general inflation scalar is imposed on bundled payer costs. A 0.8 to 1.2 multiplier captures price-year and practice-pattern uncertainty.
cost_ward_per_day,healthcare_cost,一般病棟1日費用,General ward cost per day,71515.0,57212.0,85818.0,JPY/day,gamma_cv,0.2,no,no,E04,japanese_ehr_cost,B,2023.0,Japanese EHR and claims based model input. Legacy incidence-duration model only in v0.2.0.
cost_icu_no_mv_per_day,healthcare_cost,ICU非人工呼吸器1日費用,ICU without mechanical ventilation cost per day,193598.0,154878.0,232318.0,JPY/day,gamma_cv,0.2,no,no,E04,japanese_ehr_cost,B,2023.0,Japanese EHR and claims based model input. Legacy incidence-duration model only in v0.2.0.
cost_icu_mv_per_day,healthcare_cost,ICU人工呼吸器1日費用,ICU with mechanical ventilation cost per day,324254.0,259403.0,389105.0,JPY/day,gamma_cv,0.2,no,no,E04,japanese_ehr_cost,B,2023.0,Japanese EHR and claims based model input. Legacy incidence-duration model only in v0.2.0.
los_ward_days,healthcare_cost,一般病棟在院日数,Length of stay in general ward,8.76,7.0,10.5,days,lognormal_cv,0.2,no,no,E04,japanese_ehr_cost,B,,Japanese EHR and claims based model input. Legacy incidence-duration model only in v0.2.0.
los_icu_no_mv_days,healthcare_cost,ICU非人工呼吸器在院日数,Length of stay in ICU without mechanical ventilation,10.9,8.0,14.0,days,lognormal_cv,0.25,no,no,E04,japanese_ehr_cost,B,,Japanese EHR and claims based model input. Legacy incidence-duration model only in v0.2.0.
los_icu_mv_days,healthcare_cost,ICU人工呼吸器在院日数,Length of stay in ICU with mechanical ventilation,9.78,7.0,14.0,days,lognormal_cv,0.3,no,no,E04,japanese_ehr_cost,B,,Japanese EHR and claims based model input. Legacy incidence-duration model only in v0.2.0.
postacute_qaly_loss_per_surviving_symptomatic_case,postacute_utility,生存した症候性COVID-19 1例当たり感染後1年QALY損失,One-year post-acute QALY loss per surviving symptomatic COVID-19 case,0.03225,0.0106666666666667,0.052,QALY/case,pert,,yes,yes,E14,japanese_retrospective_recall_test_negative_eq5d,B,,"Area between retrospectively recalled COVID-19 and symptomatic test-negative EQ-5D-5L profiles from months 1 to 12. The source was a single-clinic online recall survey with 77 controls, a 28.3% response rate, and no pre-test baseline utility. Conservative scenarios exclude the 6-to-12-month interval, halve the integrated loss, or remove post-acute loss entirely."
postacute_cost_per_surviving_symptomatic_case,postacute_cost,生存した症候性COVID-19 1例当たり感染後直接医療費,Post-acute direct medical cost per surviving symptomatic COVID-19 case,0.0,0.0,200000.0,JPY/case,fixed,,no,yes,A07,conservative_evidence_gap_assumption,D,2026.0,"No sufficiently transportable Japanese matched incremental direct-cost estimate was identified. Base is zero; JPY 50,000, 100,000, and 200,000 scenarios are reported."
p_pcc_outpatient,pcc,症候性非入院感染後のPCC発生確率,PCC probability after nonhospitalized symptomatic COVID-19,0.063,0.02,0.118,proportion,pert,,no,no,E05,japanese_population_study,B,,Base case uses the excess prevalence attributable to infection: 11.8% in cases minus 5.5% persistent symptoms in controls. Scenario uses gross 11.8%. Legacy incidence-duration model only in v0.2.0.
pcc_hospital_multiplier,pcc,入院症例におけるPCCリスク倍率,PCC risk multiplier after hospitalization,2.0,1.0,5.0,risk multiplier,pert,,no,no,A04,structural_assumption,D,,Japanese severity-specific PCC incidence is not established for the modeled setting. The probability is capped at 1. Legacy incidence-duration model only in v0.2.0.
p_pcc_asymptomatic,pcc,無症候感染後のPCC発生確率,PCC probability after asymptomatic infection,0.0,0.0,0.03,proportion,fixed,,no,no,A05,structural_assumption,D,,Excluded in the base case. Used only in the any-infection PCC scenario. Legacy incidence-duration model only in v0.2.0.
pcc_mean_duration_months,pcc,PCC平均持続期間,Mean duration of PCC,12.0,6.0,60.0,months,lognormal_cv,0.75,no,no,A06,structural_assumption,D,,One-year base case is aligned with a prior Japanese COVID-19 CEA; five-year scenario is provided. Legacy incidence-duration model only in v0.2.0.
disutility_pcc,pcc,PCCのutility減少,Utility decrement for PCC,0.027,0.01,0.1,utility decrement,pert,,no,no,E06,japanese_eq5d,B,,Difference between 0.877 baseline and 0.850 among Japanese patients with persistent symptoms in the source model. Legacy incidence-duration model only in v0.2.0.
cost_pcc_annual,pcc,PCC年間直接医療費,Annual direct medical cost of PCC,0.0,0.0,200000.0,JPY/person-year,fixed,,no,no,A07,evidence_gap_assumption,D,2026.0,"No robust Japanese estimate was identified for the model target. The payer base case is conservative at zero; JPY 50,000 and threshold scenarios are provided. Legacy incidence-duration model only in v0.2.0."
incremental_ae_cost_pep,safety,PEPによる増分有害事象費用,Incremental adverse-event cost attributable to PEP,0.0,0.0,5000.0,JPY/course,fixed,,no,yes,E01,trial_and_assumption,C,2026.0,Adverse-event rates were similar between arms; base incremental cost is zero.
incremental_ae_qaly_loss_pep,safety,PEPによる増分有害事象QALY損失,Incremental adverse-event QALY loss attributable to PEP,0.0,0.0,0.0005,QALY/course,fixed,,no,yes,E01,trial_and_assumption,C,,Adverse-event rates were similar between arms; base incremental QALY loss is zero.
secondary_symptomatic_case_multiplier,transmission,直接予防した症候性症例1例当たりの追加下流症候性症例,Additional downstream symptomatic cases per direct symptomatic case,0.0,0.0,0.5,cases/case,fixed,,no,no,A12,illustrative_bounding_assumption,D,,Base case is zero. Exploratory generation-1 bounding scenarios use 0.2 and 0.5 additional symptomatic cases per direct symptomatic case. These are not fitted transmission estimates and do not constitute a dynamic transmission model.
